mvir,mvir_p,mvir_m,cvir,cvir_p,cvir_m,methods,z,cl,refs
14.75,2.5,-2.5,8.0,1.3559322033898304,-1.3559322033898304,WL,0.152,Abell 2204,CL02.1
9.205,2.63,-2.63,12.897499999999999,3.135,-3.135,X-ray,0.152,Abell 2204,SC07.1
14.0,1.7,-1.7,5.86,0.46,-0.46,X-ray,0.152,Abell 2204,PO05.1
16.16,5.0,-5.0,6.5925,2.225,-2.225,X-ray,0.153,Abell 3888,ET11.1
5.1,1.4,-1.4,7.0,2.4,-2.4,WL,0.153,Abell 2009,SE14.1
4.0625,1.065,-1.065,7.1075,2.0549999999999997,-2.0549999999999997,WL,0.153,Abell 2009,OK10.1
15.32,2.59,-2.59,3.16,0.53,-0.53,X-ray,0.1527,Abell 907,ET11.1
7.7075000000000005,0.855,-0.855,8.182500000000001,1.225,-1.225,X-ray,0.1527,Abell 907,BA14.1
7.37,0.82,-0.82,6.61,0.75,-0.75,X-ray,0.1527,Abell 907,VI06.1
8.7325,1.025,-1.025,8.3475,0.275,-0.275,X-ray,0.159,Abell 1240,BA14.1
9.18,0.64,-0.64,4.81,0.29000000000000004,-0.29000000000000004,X-ray,0.161,RXCJ2014.8-2430,ET11.1
12.9575,1.815,-1.815,4.9425,0.7949999999999999,-0.7949999999999999,X-ray,0.161,RXCJ2014.8-2430,BA14.1
5.2,1.8,-1.8,10.7,5.0,-5.0,WL,0.164,RXJ1720.1+2638,SE14.1
4.3925,1.435,-1.435,10.620000000000001,4.34,-4.34,WL,0.164,RXJ1720.1+2638,OK10.1
8.45,1.34,-1.34,5.9375,1.2850000000000001,-1.2850000000000001,X-ray,0.167,Abell 3404,ET11.1
6.3100000000000005,0.73,-0.73,8.072500000000002,1.0550000000000002,-1.0550000000000002,X-ray,0.169,Abell 1201,BA14.1
32.9,21.8,-21.8,1.4,0.5,-0.5,WL,0.171,Abell 586,SE14.1
7.9775,2.4850000000000003,-2.4850000000000003,9.13,3.02,-3.02,WL,0.171,Abell 586,OK10.1
8.77,4.56,-4.56,4.13,2.79,-2.79,WL,0.171,Abell 1914,OK08.1
114.4525,8.215,-8.215,1.47,0.48,-0.48,X-ray,0.171,Abell 1914,BA14.1
5.52,0.86,-0.86,8.8225,2.4850000000000003,-2.4850000000000003,X-ray,0.175,Abell 2218,ET11.1
15.99,3.76,-3.76,8.63,1.6,-1.6,WL,0.175,Abell 2218,BA07.1
7.5625,0.965,-0.965,8.8775,2.495,-2.495,X-ray,0.175,Abell 2218,BA14.1
51.6,25.3,-25.3,0.3,0.1,-0.1,WL,0.1765,Abell 2345,SE14.1
14.3,6.4,-6.4,3.2,1.7,-1.7,WL,0.18,Abell 750,SE14.1
19.7,2.0,-2.0,14.975000000000001,4.35,-4.35,WL,0.18,Abell 1689,UM08.1
21.0,1.7,-1.7,12.774999999999999,0.95,-0.95,WL+SL,0.18,Abell 1689,UM08.1
